,text
0,"2GEORGE R.R. MARTIN 
Juego de tronos  
Canción de Hielo y Fuego / 1 
GIGAMESH"
1,"3Título original: 
A Game of Thrones  
Primera edición: octubre del 2002 
Primera reimpresión: mayo del 2004 
Segunda reimpresión: febrero del 2005  
© 1996, George R.R. Martin 
Mapas: James Sinclair 
Símbolos heráldicos: Virginia Norey 
Traducción del inglés: 
© 2002, Cristina Macía 
Ilustración de cubierta: 
© 2002, Corominas 
Derechos reservados en lengua castellana: 
© 2002, Alejo Cuervo editor 
Ediciones Gigamesh 
C/. Ausias March, 26, desp. 44 
08010 Barcelona 
Fotomecánica e impresión:  
INO Reproducciones, S.A.  
Ctra. de Castellón, km. 3,8  
Polígono Miguel Servet Nave 13  
50013 Zaragoza 
ISBN: 84-932250-4-5 
Depósito legal: Z-24-2005 
Printed on acid-free paper 
Impreso en papel libre de ácido 
Printed in Spain 
Impreso en España"
2,"4PRESENTACIÓN 
Hielo y fuego, invierno y verano, Norte y Sur. El e terno contraste entre lo cálido y lo 
gélido es el eje sobre el que gira la trama de esta  saga monumental, que marca el 
esperadísimo retorno de George R.R. Martin a la lit eratura tras una pausa de más de 
diez años dedicados al medio audiovisual. Lobos y d ragones, casas nobiliarias y 
vasallos, guerreros valientes y cortesanos intrigan tes, hechiceros y brujas forman parte 
de esta Canción de Hielo y Fuego que ha cautivado a  los lectores estadounidenses 
desde su aparición en 1996.  
Es otoño en el continente de Westeros, en un mundo en el que las estaciones han 
sido trastocadas por un evento sideral y duran déca das. Mientras se preparan para el 
largo invierno que se avecina, los habitantes de lo s Siete Reinos han asistido al 
derrocamiento de la dinastía de los Targaryen, sang re de dragones cuyo linaje se 
remonta a más de dos siglos atrás, por parte de los  ejércitos de Robert Baratheon, 
libertador para unos, usurpador para otros. Viserys  y Daenerys Targaryen, últimos 
supervivientes de la dinastía, se han visto abocado s al exilio en las tierras libres del 
este, donde planean reunir un ejército que les perm ita recuperar sus reinos perdidos. 
Entretanto, en la fría y austera Invernalia vive Ed dard Stark, Guardián de las Tierras 
del Norte, amigo íntimo y general del rey, con su m ujer y sus seis hijos que están 
llamados a ser protagonistas, aun involuntarios, de  acontecimientos futuros. A la 
muerte en circunstancias sospechosas del consejero principal del rey y cuñado de 
Eddard, Robert pide a su viejo amigo que abandone s us dominios septentrionales y se 
reúna con él en Desembarco del Rey, la capital del reino. Allí se enfrentará a las 
intrigas de la reina Cersei y de su hermano Jaime e l Matarreyes, capitán de la Guardia 
Real, verdugo del último rey Targaryen y sospechoso  de mantener relaciones 
incestuosas con su hermana la reina...  
Como puede verse, ni siquiera el incesto es un tema  tabú para Martin. Su potente 
prosa le permite adentrarse sin temor en los rincon es más profundos de la naturaleza 
humana, desarrollar cientos de personajes, mezclar tramas simultáneas como sólo un 
maestro puede hacerlo. Diferentes puntos de vista s e entrecruzan durante todo el libro, 
debido a la original puesta en escena que Martin no s ofrece: cada capítulo está 
narrado desde el punto de vista de uno de los perso najes. El mundo de Westeros está 
construido con una riqueza abrumadora y una origina lidad impresionante. Sirva como 
ejemplo el concepto majestuoso del gran Muro  del Norte, un muro de hielo de decenas 
de metros de altura y espesor que cruza todo el con tinente de este a oeste y que protege 
los reinos civilizados de los pueblos bárbaros del lejano y frío norte. Los guardianes 
del Muro son los Hermanos Negros de la Guardia de l a Noche, un cuerpo policial-
militar con aires de orden religiosa que ofrece una  segunda oportunidad de llevar una 
vida honorable a proscritos y condenados, cuya pena  es inmediatamente conmutada si 
aceptan «vestirse de negro».  
Concebida originalmente en cuatro volúmenes, la sag a vio pronto aumentada su 
longitud a seis tomos, de los cuales este Juego de Tronos es el primero. Los dos 
volúmenes siguientes, A Clash of Kings y A Storm of Swords, están ya disponibles para 
el público anglosajón, y el cuarto, A Feast for Crows, tiene prevista su aparición en 
noviembre del 2002. Los títulos provisionales de lo s volúmenes quinto y sexto son A"
3,"5Dance for Dragons y The Winds of Winter, respectivamente. La saga no tuvo un 
arranque espectacular; la edición en tapa dura de Juego de Tronos no llegó a ser éxito 
de ventas, y no fue hasta la aparición de la edició n en paperback que las ventas no se 
dispararon. El enorme éxito de la edición en tapa b landa aumentó las ventas de A 
Clash of Kings, ya en tapa dura, y A Storm of Swords alcanzó el duodécimo puesto en 
la prestigiosa lista de best sellers del New York Times en noviembre del 2000. A 
consecuencia de este éxito a posteriori, la primera  edición de Juego de tronos se cotiza 
a precios espectaculares en el mercado del coleccio nista. El propio Martin pone a la 
venta en su página web varios ejemplares por quinie ntos dólares, cuando el precio 
original era de veinte.  
En cuanto al autor, George R.R. Martin es sobradame nte conocido por el 
aficionado de habla hispana. Su primera novela, Muerte de la luz, publicada por 
Edhasa (en Nebulae Segunda Época), es una pieza de coleccionista, o más bien lo era 
antes de su reedición en esta misma colección. Sus obras Sueño del Fevre y Los viajes 
de Tuf son clásicos del género, y han gozado de un respeta ble éxito en España. 
Asimismo, Martin da muestra de su destreza en una s erie de cuentos cortos, recopilados 
en varias antologías, que le han valido cuatro Hugo s y dos Nebulas hasta la fecha. 
Especialmente recomendables son ""Los reyes de la ar ena"", premios Hugo y Nebula, 
una escalofriante historia sobre los peligros de ju gar a ser Dios, y ""Una canción para 
Lya"", premio Hugo, un bellísimo canto a una mujer q ue abraza una religión alienígena.  
Esperamos que nuestros lectores estén de acuerdo co n nosotros en que esta saga 
es la mejor y más impresionante obra de fantasía mi tológica que se haya escrito 
después de Tolkien. Decidan por ustedes mismos.  
JOSEP BURILLO"
4,6Éste es para Melinda.
5,"7Dicen que en los detalles está el demonio.  
Un libro tan largo como éste tiene muchísimos demon ios, 
y hay que estar alerta para no caer en sus garras. Por suerte, yo 
conozco a muchísimos ángeles.  
Mi agradecimiento y mi aprecio, por lo tanto, a tod as esas 
buenas personas que me prestaron sus oídos y sus 
conocimientos (y, en varios casos, sus libros) para  que pudiera 
salir bien parado entre tantos detalles: a Sage Wal ker, Martin 
Wright, Melinda Snodgrass, Carl Keim, Bruce Baugh, Tim 
O'Brien, Roger Zelazny, Jane Lindskold y Laura J. M ixon, y por 
supuesto, a Parris.  
Y un agradecimiento especial a Jennifer Hershey, po r sus 
esfuerzos que van por encima y más allá del deber.. ."
6,"8PRÓLOGO 
—Deberíamos volver ya —instó Gared mientras los bos ques se tornaban más y más 
oscuros a su alrededor—. Los salvajes están muertos . 
—¿Te dan miedo los muertos? —preguntó Ser Waymar Ro yce, insinuando apenas 
una sonrisa. 
—Los muertos están muertos —contestó Gared. No habí a mordido el anzuelo. Era 
un anciano de más de cincuenta años, y había visto ir y venir a muchos jóvenes 
señores—. No tenemos nada que tratar con ellos. 
—¿Y de veras están muertos? —preguntó Royce delicad amente—. ¿Qué prueba 
tenemos? 
—Will los vio —respondió Gared—. Si él dice que est án muertos, no necesito 
más pruebas. 
—Mi madre me dijo que los muertos no cantan cancion es —intervino Will. Sabía 
que lo iban a meter en la disputa tarde o temprano.  Le habría gustado que fuera más 
tarde que temprano. 
—Mi ama de cría me dijo lo mismo, Will —replicó Roy ce—. Nunca creas nada 
de lo que te diga una mujer cuando estás junto a su  teta. Hasta de los muertos se pueden 
aprender cosas. —Su voz resonó demasiado alta en el  anochecer del bosque. 
—Tenemos un largo camino por delante —señaló Gared— . Ocho días, hasta 
puede que nueve. Y se está haciendo de noche. 
—Como todos los días alrededor de esta hora —dijo S er Waymar Royce después 
de echar una mirada indiferente al cielo—. ¿La oscu ridad te atemoriza, Gared? 
Will percibió la tensión en torno a la boca de Gare d y la ira apenas contenida en 
los ojos, bajo la gruesa capucha negra de la capa. Gared llevaba cuarenta años en la 
Guardia de la Noche, buena parte de su infancia y t oda su vida de adulto, y no estaba 
acostumbrado a que se burlaran de él. Pero eso no e ra todo. Will presentía algo más en 
el anciano aparte del orgullo herido. Casi se palpa ba en él una tensión demasiado 
parecida al miedo. 
Will compartía aquella intranquilidad. Llevaba cuat ro años en el Muro. La 
primera vez que lo habían enviado al otro lado, rec ordó todas las viejas historias y se le 
revolvieron las tripas. Después se había reído de a quello. Ahora era ya veterano de cien 
expediciones, y la interminable extensión de selva oscura que los sureños llamaban el 
Bosque Encantado no le resultaba aterradora. 
Hasta aquella noche. Aquella noche había algo difer ente. La oscuridad tenía un 
matiz que le erizaba el vello. Llevaban nueve días cabalgando hacia el norte, hacia el 
noroeste y hacia el norte otra vez, siempre alejánd ose del Muro, tras la pista de unos 
asaltantes salvajes. Cada día había sido peor que e l anterior, y aquél era el peor de 
todos. Soplaba un viento gélido del norte, que hací a que los árboles susurraran como si 
tuvieran vida propia. Durante toda la jornada Will se había sentido observado, vigilado 
por algo frío e implacable que no le deseaba nada b ueno. Gared también lo había 
percibido. No había nada que Will deseara más que c abalgar a toda velocidad hacia la 
seguridad que ofrecía el Muro, pero no era un senti miento que pudiera compartir con un 
comandante. 
Y menos con un comandante como aquél."
7,"9Ser Waymar Royce era el hijo menor de una antigua c asa con demasiados 
herederos. Era un joven de dieciocho años, atractiv o, con ojos grises, gallardo y esbelto 
como un cuchillo. A lomos de su enorme corcel negro , se alzaba muy por encima de 
Will y Gared, montados en caballos pequeños y recio s adecuados para el terreno. 
Calzaba botas de cuero negro y vestía pantalones ne gros de lana, guantes negros de piel 
de topo, y una buena chaquetilla ceñida de brillant e cota de malla sobre varias prendas 
de lana negra y cuero tratado. Ser Waymar llevaba m enos de medio año como Hermano 
Juramentado en la Guardia de la Noche, pero sin dud a se había preparado bien para su 
vocación. Al menos en lo que a la ropa respectaba. 
La capa era su mayor orgullo: de marta cibelina, gr uesa, suave y negra como el 
carbón. 
—Apuesto a que las mató a todas con sus propias man os —había comentado 
Gared en los barracones, mientras bebían vino—. Seg uro que nuestro gran guerrero les 
arrancó las cabecitas él mismo. 
Todos se habían reído. 
«Es difícil aceptar órdenes de un hombre del que te  burlas cuando bebes», 
reflexionó Will mientras tiritaba a lomos de su mon tura. Gared debía de estar pensando 
lo mismo. 
—Mormont dijo que siguiéramos sus huellas, y ya lo hemos hecho —dijo 
Gared—. Están muertos. No volverán a molestarnos. N os queda un camino duro por 
delante. No me gusta este clima. Si empieza a nevar , tardaremos quince días en volver, 
y la nieve es lo mejor que podemos encontrarnos. ¿H abéis visto alguna tormenta de 
hielo, mi señor? 
El joven señor no parecía escucharlo. Observaba la creciente oscuridad del 
crepúsculo con aquella mirada suya, entre aburrida y distraída. Will había cabalgado el 
tiempo suficiente junto al caballero para saber que  era mejor no interrumpirlo cuando 
mostraba aquella expresión. 
—Vuelve a contarme lo que viste, Will. Con todo det alle. No te dejes nada. 
Will había sido cazador antes de unirse a la Guardi a de la Noche. Bueno, en 
realidad había sido furtivo. Los jinetes libres de los Mallister lo habían atrapado con las 
manos manchadas de sangre en los bosques de los Mal lister, mientras despellejaba un 
ciervo de los Mallister, y tuvo que elegir entre ve stir el negro o perder una mano. No 
había nadie capaz de moverse por los bosques tan si gilosamente como Will, y los 
hermanos negros no tardaron en explotar su talento.  
—El campamento está tres kilómetros más adelante, p asado aquel risco, justo al 
lado de un arroyo —dijo Will—. Me acerqué tanto com o me atreví. Eran ocho, hombres 
y mujeres. Niños no, al menos no vi ninguno. Habían  puesto una especie de tienda 
contra la roca. La nieve ya la había cubierto casi del todo, pero la vi. No había ninguna 
hoguera, aunque el lugar donde habían encendido una  se distinguía claramente. 
Ninguno se movía, los observé un buen rato. Ningún ser vivo ha estado jamás tan 
quieto. 
—¿Viste sangre? 
—La verdad es que no —admitió Will. 
—¿Y armas? 
—Algunas espadas, unos cuantos arcos... Uno de los hombres tenía un hacha. De 
doble filo, parecía muy pesada, un buen trozo de hi erro. Estaba en el suelo, junto a su 
mano. 
—¿Recuerdas en qué postura se encontraban los cuerp os? 
—Un par de ellos estaban sentados con la espalda co ntra la roca —contestó Will 
encogiéndose de hombros—. La mayoría, tendidos en e l suelo. Como caídos."
8,"10 —O dormidos —sugirió Royce. 
—Caídos —insistió Will—. Había una mujer en la copa  de un tamarindo, medio 
escondida entre las ramas. Una vigía. —Esbozó una s onrisa—. Tuve buen cuidado de 
que no me viera. Cuando me acerqué, vi que ella tam poco se movía. —Muy a su pesar, 
se estremeció. 
—¿Tienes frío? —preguntó Royce. 
—Un poco —murmuró Will—. El viento, mi señor. 
El joven caballero se volvió hacia el guardia de pe lo cano. Las hojas que la 
escarcha había hecho caer de los árboles pasaron su surrantes junto a ellos, y el corcel de 
Royce se movió, inquieto. 
—¿Qué crees que pudo matar a esos hombres, Gared? — preguntó Ser Waymar en 
tono despreocupado. Se ajustó el pliegue de la larg a capa de marta. 
—El frío —replicó Gared con certeza férrea—. Vi a h ombres morir congelados el 
pasado invierno, y también el anterior, cuando era casi un niño. Todo el mundo habla de 
nieve de quince metros de espesor, y de cómo el vie nto gélido llega aullando del norte, 
pero el verdadero enemigo es el frío. Se echa encim a de uno más sigiloso que Will, al 
principio se tirita y castañetean los dientes, se d an pisotones contra el suelo, y se sueña 
con vino caliente y con una buena hoguera. Y quema,  vaya si quema. No hay nada que 
queme como el frío. Pero sólo durante un tiempo. Lu ego se mete dentro y empieza a 
invadirlo todo, y al final no se tienen fuerzas par a combatirlo. Es más fácil sentarse, o 
echarse a dormir. Dicen que al final no se siente n ingún dolor. Primero se está débil y 
amodorrado, y todo se vuelve nebuloso, y luego es c omo hundirse en un mar de leche 
tibia. Como muy tranquilo todo. 
—Qué elocuencia, Gared —observó Ser Waymar—. No me imaginaba que te 
expresaras así. 
—Yo también he tenido el frío dentro, joven señor. —Gared se echó la capucha 
hacia atrás para que Ser Waymar le viera bien los m uñones donde había tenido las 
orejas—. Las dos orejas, tres dedos de los pies, y el meñique de la mano izquierda. Salí 
bien parado. A mi hermano lo encontramos congelado en su turno de guardia, con una 
sonrisa en los labios. 
—Tendrías que usar ropa más abrigada —dijo Ser Waym ar encogiéndose de 
hombros. 
Gared miró al joven señor y se le enrojecieron las cicatrices en torno a los oídos, 
allí donde el maestre Aemon le había amputado las o rejas. 
—Ya veremos hasta qué punto podéis abrigaros cuando  llegue el invierno. —Se 
subió la capucha y se encorvó sobre su montura, sil encioso y hosco. 
—Si Gared dice que fue el frío... —empezó Will. 
—¿Has hecho alguna guardia esta semana pasada, Will ? 
—Sí, mi señor. —No había semana en que no hiciera u na docena de guardias de 
mierda. ¿Adónde quería llegar con aquello? 
—¿Y cómo estaba el Muro? 
—Lloraba —dijo Will con el ceño fruncido. Ahora que  el joven señor lo señalaba, 
estaba claro—. Si el Muro lloraba, no se pudieron c ongelar. No hacía suficiente frío. 
—Muy perspicaz —asintió Royce—. La semana pasada he mos tenido unas 
cuantas heladas ligeras, y algunas ráfagas de nieve , pero en ningún momento hizo tanto 
frío para que ocho adultos murieran congelados. Y t e recuerdo que eran hombres con 
ropas de piel y cuero, que estaban cerca de un refu gio y que sabían cómo encender una 
hoguera. —La sonrisa del caballero no podía ser más  confiada—. Llévanos hasta ese 
lugar, Will. Quiero ver a los muertos con mis propi os ojos. 
Y ya no hubo más que hablar. La orden estaba dada, y el honor los obligaba a"
9,"11 obedecerla. 
Will abrió la marcha con su montura desgreñada, eli giendo cauteloso el camino 
entre la maleza. La noche anterior había caído una ligera nevada, y había piedras, raíces 
y depresiones ocultas al acecho del descuidado y el  imprudente. A continuación iba Ser 
Waymar Royce sobre el gran corcel negro que pifiaba  impaciente. Un corcel no era 
montura adecuada para una expedición de exploración , pero cualquiera se lo decía al 
joven señor. Gared cerraba la marcha. El anciano gu ardia iba murmurando para sus 
adentros mientras cabalgaba. 
Caía la noche. El cielo despejado se volvió de un t ono púrpura oscuro, el color de 
un moretón viejo, y se fue tornando negro. Empezaro n a aparecer las estrellas y una 
media luna. Will agradeció la luz en su fuero inter no. 
—Seguro que podemos ir a mejor paso —dijo Royce cua ndo la luna brilló en el 
cielo. 
—Con este caballo, no —replicó Will. El miedo lo ha bía vuelto insolente—. 
¿Quiere mi señor abrir la marcha? 
Ser Waymar Royce no se dignó a responder. 
En algún lugar del bosque, un lobo aulló. 
Will hizo que su caballo se situara bajo un viejo t amarindo nudoso, y desmontó. 
—¿Por qué te detienes? —preguntó Ser Waymar. 
—Mejor vamos a pie el resto del camino, mi señor. E stá cerca, tras aquel risco. 
Royce se detuvo un instante, mirando a lo lejos con  gesto reflexivo. El viento frío 
soplaba entre los árboles. La larga capa de marta s e agitó tras él como una cosa 
semiviva. 
—Aquí falla algo —murmuró Gared. 
—¿De verdad? —dijo el joven caballero con una sonri sa desdeñosa. 
—¿No lo notáis? —preguntó Gared—. Escuchad la oscur idad. 
Will sí lo notaba. Llevaba cuatro años en la Guardi a de la Noche, y nunca había 
tenido tanto miedo. ¿Qué pasaba? 
—Viento. El susurro de los árboles. Un lobo. ¿Cuál de esos ruidos es el que asusta 
tanto, Gared? 
Al ver que Gared no respondía, Royce se bajó del ca ballo con gesto elegante. Ató 
el corcel a una rama baja, a buena distancia de los  otros caballos, y desenvainó la espada 
larga. La empuñadura refulgía con el brillo de las piedras preciosas, y la luz de la luna 
parecía fluir por el acero pulido. Era un arma magn ífica, forjada en Castillo; y estaba 
nueva. Will pensó que nadie la había blandido jamás  con ira. 
—Aquí los árboles están muy juntos —avisó—. La espa da se os va a enredar con 
las ramas, mi señor. Es mejor llevar un cuchillo. 
—Cuando necesite consejos, los pediré —replicó el j oven señor—. Tú quédate 
aquí, Gared, vigila los caballos. 
—Nos hará falta una hoguera. —Gared desmontó—. Yo m e encargo. 
—¿Eres completamente idiota, viejo? Si hay enemigos  al acecho en este bosque, 
lo que menos falta nos hace es una hoguera. 
—El fuego mantendría alejados a algunos enemigos —s eñaló Gared—. Osos, 
lobos huargo y... y otras cosas. 
—Nada de hogueras. —Ser Waymar apretó los labios. 
La capucha de Gared le ensombrecía el rostro, pero Will advirtió que tenía un 
brillo duro en los ojos al mirar al caballero. Dura nte un momento temió que el anciano 
fuera a desenvainar la espada. Era un arma corta y fea, con la empuñadura descolorida 
por el sudor y melladuras en la hoja tras muchos añ os de uso frecuente, pero Will no 
habría apostado nada por la vida del joven señor si  Gared llegaba a esgrimirla."
